instr-class,clsuter0,cluster1,cluster2
3-3,0.41261061946902655,0.3163716814159292,0.27101769911504425
3-13,0.36253369272237196,0.28706199460916443,0.3504043126684636
3-5,0.4375,0.3643292682926829,0.19817073170731708
3-9,0.4798598949211909,0.3345008756567426,0.18563922942206654
2-6,0.3655913978494624,0.46953405017921146,0.16487455197132617
3-8,0.476,0.386,0.138
2-11,0.3987603305785124,0.45041322314049587,0.15082644628099173
1-10,0.29464285714285715,0.5200892857142857,0.18526785714285715
2-1,0.3795379537953795,0.48514851485148514,0.1353135313531353
3-4,0.5561497326203209,0.2192513368983957,0.22459893048128343
1-7,0.4385026737967914,0.3422459893048128,0.2192513368983957
1-2,0.2357142857142857,0.5785714285714286,0.18571428571428572
2-13,0.4444444444444444,0.41414141414141414,0.1414141414141414
3-12,0.36585365853658536,0.34146341463414637,0.2926829268292683
